game_id,team_id,TEAM_NAME,TEAM_ABBREVIATION,WL,HOMEORAWAY,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,W_PCT,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_REB_PCT,E_TM_TOV_PCT,E_PACE,is_target_team,is_team1
0022301055,1610612747,Los Angeles Lakers,LAL,1,0,45,81,0.556,18,33,0.545,28,35,0.8,4,39,43,31,5,4,15,19,12.0,0.562,113.7,113.1,0.6,20.2,0.196,0.758,0.492,0.132,103.0,1,1
0022301045,1610612747,Los Angeles Lakers,LAL,1,0,42,108,0.389,14,44,0.318,30,32,0.938,15,54,69,30,4,8,17,13,4.0,0.562,113.7,113.1,0.6,20.2,0.196,0.758,0.492,0.132,103.0,1,1
0022301032,1610612747,Los Angeles Lakers,LAL,1,1,50,89,0.562,12,25,0.48,38,43,0.884,8,33,41,28,6,7,10,14,5.0,0.562,113.7,113.1,0.6,20.2,0.196,0.758,0.492,0.132,103.0,1,1
0022301018,1610612747,Los Angeles Lakers,LAL,1,1,32,73,0.438,12,31,0.387,25,33,0.758,11,43,54,22,1,7,21,16,7.0,0.562,113.7,113.1,0.6,20.2,0.196,0.758,0.492,0.132,103.0,1,1
0022300990,1610612747,Los Angeles Lakers,LAL,1,1,52,90,0.578,15,36,0.417,17,20,0.85,4,44,48,39,6,4,8,15,31.0,0.562,113.7,113.1,0.6,20.2,0.196,0.758,0.492,0.132,103.0,1,1
0022300973,1610612747,Los Angeles Lakers,LAL,0,1,47,92,0.511,12,34,0.353,15,18,0.833,8,31,39,32,3,4,9,13,-7.0,0.562,113.7,113.1,0.6,20.2,0.196,0.758,0.492,0.132,103.0,1,1
0022300954,1610612747,Los Angeles Lakers,LAL,0,0,38,78,0.487,14,32,0.438,17,22,0.773,7,31,38,25,8,2,14,12,-13.0,0.562,113.7,113.1,0.6,20.2,0.196,0.758,0.492,0.132,103.0,1,1
0022300932,1610612747,Los Angeles Lakers,LAL,1,1,44,83,0.53,10,24,0.417,22,29,0.759,14,42,56,29,9,4,19,12,11.0,0.562,113.7,113.1,0.6,20.2,0.196,0.758,0.492,0.132,103.0,1,1
0022300915,1610612747,Los Angeles Lakers,LAL,1,1,47,90,0.522,16,34,0.471,13,19,0.684,4,34,38,27,2,7,5,16,1.0,0.562,113.7,113.1,0.6,20.2,0.196,0.758,0.492,0.132,103.0,1,1
0022300901,1610612747,Los Angeles Lakers,LAL,0,1,42,81,0.519,15,32,0.469,21,25,0.84,3,31,34,25,4,5,14,14,-10.0,0.562,113.7,113.1,0.6,20.2,0.196,0.758,0.492,0.132,103.0,1,1
0022300884,1610612747,Los Angeles Lakers,LAL,1,1,41,80,0.513,16,34,0.471,18,25,0.72,12,43,55,29,8,7,20,15,12.0,0.562,113.7,113.1,0.6,20.2,0.196,0.758,0.492,0.132,103.0,1,1
0022300869,1610612747,Los Angeles Lakers,LAL,0,1,47,89,0.528,12,29,0.414,8,11,0.727,6,25,31,33,5,4,7,9,-10.0,0.562,113.7,113.1,0.6,20.2,0.196,0.758,0.492,0.132,103.0,1,1
0022300856,1610612747,Los Angeles Lakers,LAL,1,1,53,101,0.525,8,23,0.348,20,24,0.833,7,38,45,30,6,6,11,16,3.0,0.562,113.7,113.1,0.6,20.2,0.196,0.758,0.492,0.132,103.0,1,1
0022300848,1610612747,Los Angeles Lakers,LAL,1,0,47,86,0.547,14,36,0.389,8,10,0.8,8,31,39,28,6,5,15,12,4.0,0.562,113.7,113.1,0.6,20.2,0.196,0.758,0.492,0.132,103.0,1,1
0022300818,1610612747,Los Angeles Lakers,LAL,0,0,47,90,0.522,15,35,0.429,4,8,0.5,3,31,34,28,7,4,10,14,-10.0,0.562,113.7,113.1,0.6,20.2,0.196,0.758,0.492,0.132,103.0,1,1
0022300813,1610612747,Los Angeles Lakers,LAL,1,1,49,95,0.516,11,27,0.407,14,18,0.778,10,36,46,28,7,4,12,18,5.0,0.562,113.7,113.1,0.6,20.2,0.196,0.758,0.492,0.132,103.0,1,1
0022300802,1610612747,Los Angeles Lakers,LAL,0,0,43,88,0.489,10,35,0.286,14,21,0.667,10,31,41,28,5,9,11,18,-18.0,0.562,113.7,113.1,0.6,20.2,0.196,0.758,0.492,0.132,103.0,1,1
0022300788,1610612747,Los Angeles Lakers,LAL,1,0,52,91,0.571,14,31,0.452,20,24,0.833,5,32,37,34,8,4,9,13,16.0,0.562,113.7,113.1,0.6,20.2,0.196,0.758,0.492,0.132,103.0,1,1
0022300776,1610612747,Los Angeles Lakers,LAL,1,1,43,84,0.512,14,35,0.4,25,30,0.833,7,40,47,32,6,11,15,14,14.0,0.562,113.7,113.1,0.6,20.2,0.196,0.758,0.492,0.132,103.0,1,1
0022300747,1610612747,Los Angeles Lakers,LAL,1,1,49,88,0.557,14,31,0.452,27,32,0.844,5,27,32,32,5,5,7,20,17.0,0.562,113.7,113.1,0.6,20.2,0.196,0.758,0.492,0.132,103.0,1,1
0022300740,1610612747,Los Angeles Lakers,LAL,0,1,41,89,0.461,8,25,0.32,16,22,0.727,10,29,39,27,12,10,7,10,-8.0,0.562,113.7,113.1,0.6,20.2,0.196,0.758,0.492,0.132,103.0,1,1
0022300713,1610612747,Los Angeles Lakers,LAL,1,0,50,89,0.562,8,34,0.235,16,19,0.842,7,41,48,36,5,6,16,12,6.0,0.562,113.7,113.1,0.6,20.2,0.196,0.758,0.492,0.132,103.0,1,1
0022300701,1610612747,Los Angeles Lakers,LAL,1,0,39,80,0.488,12,31,0.387,23,27,0.852,3,35,38,28,4,11,5,16,8.0,0.562,113.7,113.1,0.6,20.2,0.196,0.758,0.492,0.132,103.0,1,1
0022300684,1610612747,Los Angeles Lakers,LAL,1,0,38,94,0.404,19,36,0.528,19,26,0.731,15,37,52,30,11,2,7,8,9.0,0.562,113.7,113.1,0.6,20.2,0.196,0.758,0.492,0.132,103.0,1,1
0022300669,1610612747,Los Angeles Lakers,LAL,0,0,48,90,0.533,12,33,0.364,14,25,0.56,7,30,37,28,12,3,14,16,-16.0,0.562,113.7,113.1,0.6,20.2,0.196,0.758,0.492,0.132,103.0,1,1
0022300662,1610612747,Los Angeles Lakers,LAL,0,0,45,91,0.495,13,35,0.371,16,26,0.615,4,31,35,26,10,6,12,13,-16.0,0.562,113.7,113.1,0.6,20.2,0.196,0.758,0.492,0.132,103.0,1,1
